source_id,rup106_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
6078934086119588096,643,0.20639743140965244,0.086560294,189.7621489703053,-51.1989405794485,17.461988,-12.89694493004389,0.07610329,-1.0343131056911543,0.067855336,6.63760505264916E-5
6078931307274823168,644,0.4873430427711294,0.32813436,189.85563810171791,-51.198433120770645,19.659105,-5.003078216775704,0.3333935,-1.742607772863405,0.25940746,3.006555404008591E-5
6078980304271465728,645,0.2657267445353182,0.052827924,189.56451119267658,-51.19938173031833,16.637108,-5.758934864915417,0.049320877,-0.09829295534569396,0.042820096,2.0923408784785654E-5
6078933330205348864,646,0.3855779108243029,0.1397525,189.7155917323639,-51.198569801884595,18.35056,-5.83003397666661,0.1294184,-0.41976994612688157,0.11137431,2.0779649789857882E-5
6078934257915776768,647,0.37633721894086647,0.081621215,189.8407237826786,-51.19792028815738,17.452322,-13.19587966402058,0.07492297,-0.31555890601542735,0.06711034,5.86455595516641E-5
6078933330205348736,648,0.655394468945256,0.29441217,189.72089749519046,-51.19826078769615,19.56015,-3.316611973337722,0.2852977,0.5697597612135928,0.2268241,4.896151121755621E-6
6078934811976163328,649,0.19733968516589415,0.15417154,189.74209291026543,-51.19789467744667,18.623293,-9.517902140667182,0.14843993,-0.4189470711433245,0.12519562,4.1334819084440614E-5
6078980441710420992,650,0.19528276323945248,0.071795195,189.63062402007648,-51.198280841021145,17.268105,-3.933546140348104,0.06862671,0.43922049029583,0.057847176,1.60804077597457E-5
6078934811976163072,651,0.41127625226887554,0.036283642,189.73475118933487,-51.19777906526277,15.903906,-3.6239943105752612,0.034218777,3.3209539753749175,0.027107887,1.9517875545639028E-5
6078980437406656768,652,0.07730829373587718,0.03886445,189.6184182275393,-51.198171097347654,16.077414,-0.277840813681034,0.036797397,-2.0720990868656997,0.03056427,2.2261989562186234E-5
6078934124773344768,653,0.11476427340445905,0.1248559,189.79639178529828,-51.19738373920006,18.275974,-9.841504579042919,0.11617051,-0.7138556385517231,0.102380134,5.040536066422971E-5
6078933948678133632,654,0.04372510270798097,0.06866318,189.8061603474729,-51.19722358601633,17.105396,-0.10173753412723283,0.059305206,-0.22307388520993707,0.050058227,8.381402198673382E-6
6078980132472775040,655,0.3134419085606742,0.099923365,189.60652724272933,-51.1976384778268,17.808392,-3.8732380184782964,0.09429807,0.11829728486990637,0.0769428,1.914674919101435E-5
6078980231248231168,656,0.6807171974607567,0.112199225,189.52944701540525,-51.197585420992255,17.997822,-5.1565412181494015,0.10626016,-1.7846644039049062,0.08567284,1.7340935811295524E-5
