source_id,pyxis_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
5623100204744900480,572,0.43357942188065807,0.3126679,136.83293399297645,-37.29797123836929,19.487368,-4.352261419618542,0.25766316,4.040721301107834,0.2964717,6.25477413920526E-5
5623058285864096896,573,0.41037651180840756,0.0820833,137.05202960791667,-37.297433652730284,17.712687,-2.2834006503199937,0.0812617,6.478295375556527,0.10272123,3.077596295006707E-5
5623105186906966272,574,-0.11757579903106283,0.46082553,136.93323441085118,-37.29771388849642,20.150305,-2.3738033528642175,0.43969518,2.4596352572956315,0.47933203,7.456869666291822E-6
5623059011712837120,575,-0.012989180350679433,0.57385737,137.117431023572,-37.29720520335355,20.449507,-2.0034971349114765,0.5269664,1.976442882831868,0.63249123,1.7112494816960716E-5
5623058835619911424,576,0.08860175493172807,0.33983174,137.1267483088238,-37.29696828121624,19.887411,-5.114918247244417,0.319618,5.615914332302204,0.37074474,3.765634279834447E-5
5623100067309851776,577,-0.2616345454066921,0.3660358,136.85716303673786,-37.297604679867725,19.779293,-4.516978671688864,0.31515214,3.0167837150839225,0.36720452,3.022424662148589E-5
5623058290158504832,578,0.0711667894810139,0.26608944,137.04563584955736,-37.29720415203446,19.595734,-2.730030279272042,0.24883062,1.3810797089508533,0.2810662,2.2765375556332628E-5
5623100071600810240,579,0.11042431044417433,0.56692624,136.858726139347,-37.297526523150765,20.320282,-1.9764421295578967,0.50249034,1.8799937754891167,0.5646878,3.4404081088545415E-5
5623105015108276480,580,0.11053632085048856,0.13699666,136.9486877560884,-37.29738748646601,18.630634,-2.4135549628489397,0.13692647,1.9027714458564684,0.15223691,1.2307897830480861E-5
5623058290160677376,581,0.13994676967055164,0.11831994,137.03571993412555,-37.29715319126591,18.379889,-4.191872732917932,0.11185414,0.296613045130956,0.13296872,3.4145144398646814E-5
5623105152547228928,582,0.3045824784576343,0.20934832,136.91080000858537,-37.2972914054822,19.118507,-2.549373204918207,0.1907905,1.3272180157318099,0.20977992,1.0212202986548514E-5
5623100067305950720,583,0.06434909758368372,0.35194948,136.87632331018656,-37.29722958570251,19.776464,-5.141804827187695,0.3166324,3.2852920582926393,0.3698811,3.218181402135932E-5
5623105874101736704,584,0.36050283250390586,0.12106709,136.88618040308296,-37.297080595884836,18.324648,-3.9314758261540756,0.11001539,2.813886340565418,0.12981902,2.429609518674264E-5
5623058973058867712,585,0.4109073927091706,0.07084019,137.08808464224842,-37.296601999652516,17.522614,-5.086979661370595,0.06849306,4.805175380503939,0.08407003,3.5782085466037145E-5
5623100243404446848,586,0.1674691739543303,0.057925895,136.85101225800113,-37.29703068696822,16.92836,-4.686942332656118,0.051855516,5.166328482061824,0.058608145,5.2565295521411056E-5
5623058285864100096,588,0.1130910056512963,0.112054646,137.0490934806238,-37.29654424770449,18.340303,-4.733622627207172,0.10896271,3.4705273182892107,0.12201156,3.6457462758345986E-5
5623105186906970880,589,0.5511840537480929,0.08180052,136.93778511052255,-37.296742152795844,17.598068,-4.629567157457917,0.07993619,2.40653315661639,0.10532751,2.3478642343724903E-5
5623105186906971008,590,0.05732183126943651,0.051743455,136.9248362870689,-37.29667611011752,16.800636,-5.67918460547494,0.049895585,4.336953763113735,0.055854302,3.1827890310791635E-5
5623058461961201536,591,0.3162560592108612,0.054982852,137.0251074791637,-37.296416826150384,17.055727,-4.8026319275838745,0.053151157,2.054024177097666,0.063113146,3.7504955715302605E-5
5623058290162500352,592,0.2556400265975213,0.028922554,137.0446362043065,-37.29623946057879,15.808964,-3.153011483439091,0.028010227,2.0368849547450436,0.03158642,2.0564548761096394E-5
5623059041778345344,593,-0.19683846874645375,0.2613276,137.12071985369994,-37.295960157973205,19.549635,-4.9317079496622105,0.24677067,4.407683061627571,0.27460453,2.784498273431631E-5
5623058290162848512,594,0.6808490328332805,0.032641597,137.03616535708383,-37.29603106458562,15.950546,-8.160469191525557,0.030518891,8.700021844095298,0.038210947,6.665525236007842E-5
5623105878401529344,595,0.5333914792448327,0.0132463,136.89131180678365,-37.2960024337277,13.75333,-5.393843040805541,0.011718456,2.0558026783070282,0.014785212,1.961521340822376E-5
