"","num","RA","Dec"
"5096",5096,264.402336202183,-3.23876302079384
"5097",5097,264.402272141862,-3.21373862157529
"5098",5098,264.402393252676,-3.26169154290723
"5099",5099,264.402355873728,-3.25446155061037
"5100",5100,264.402188008473,-3.19717497517156
"5101",5101,264.402312473332,-3.24872296103431
"5102",5102,264.402335241227,-3.26405966789748
"5103",5103,264.402293285139,-3.24789227548594
"5104",5104,264.402320790274,-3.26180277826917
"5105",5105,264.402336400573,-3.26876671044072
"5106",5106,264.402352113131,-3.27524124220883
"5107",5107,264.402251602934,-3.23638871271891
"5108",5108,264.402268065818,-3.24464780714632
"5109",5109,264.402261374265,-3.24526391943366
"5110",5110,264.402336617889,-3.27594908587058
"5111",5111,264.402290103903,-3.25807770857757
"5112",5112,264.402255043808,-3.24514470051683
"5113",5113,264.402194881257,-3.22432189990143
"5114",5114,264.402226179719,-3.24011857393781
"5115",5115,264.402229593526,-3.24286042388803
"5116",5116,264.402189550971,-3.23256999889128
"5117",5117,264.402271611952,-3.27119079529099
"5118",5118,264.402216827644,-3.25002844913658
"5119",5119,264.402173383296,-3.23454591808239
"5120",5120,264.402212192928,-3.25074896229344
"5121",5121,264.402173128156,-3.23799447278329
"5122",5122,264.402164954942,-3.24455396642684
"5123",5123,264.402187455925,-3.25851650848866
"5124",5124,264.402133162373,-3.24657437627125
"5125",5125,264.402152432353,-3.25834565111517
"5126",5126,264.402144743124,-3.25637979774385
"5127",5127,264.402065984119,-3.2261057135312
"5128",5128,264.402084510031,-3.23877265777944
"5129",5129,264.402073418214,-3.23454779094126
"5130",5130,264.402162371782,-3.27127714378276
"5131",5131,264.402063659714,-3.23259822374078
"5132",5132,264.402066468028,-3.23742650137125
"5133",5133,264.402078357435,-3.24310386846771
"5134",5134,264.402008525461,-3.21751932060667
"5135",5135,264.402066371116,-3.2417262784667
"5136",5136,264.40185306138,-3.16206858553457
"5137",5137,264.402004292102,-3.22264714243411
"5138",5138,264.402031867847,-3.24302986246085
"5139",5139,264.401999442603,-3.23397574152058
"5140",5140,264.401946643038,-3.21871687416249
"5141",5141,264.401971168004,-3.22900666237952
"5142",5142,264.401773090445,-3.15361898180941
"5143",5143,264.402027873783,-3.2582432701498
"5144",5144,264.402039908808,-3.26331990840562
"5145",5145,264.401960398438,-3.23735250560165
"5146",5146,264.40205239058,-3.27400629747972
"5147",5147,264.401964034172,-3.2428134890968
"5148",5148,264.401839213449,-3.19497257967325
"5149",5149,264.401851210886,-3.20288356602874
"5150",5150,264.401949635601,-3.24316028986916
"5151",5151,264.402337774299,-3.39714879449311
"5152",5152,264.401997762985,-3.26469003671804
"5153",5153,264.402176392717,-3.33536256642967
"5154",5154,264.402011778422,-3.27133339124424
"5155",5155,264.402004387287,-3.2754431840915
"5156",5156,264.401941073442,-3.25211107401999
"5157",5157,264.401886445966,-3.23144582472822
"5158",5158,264.401954184228,-3.25927659890409
"5159",5159,264.401924807846,-3.24835211899614
"5160",5160,264.40188235664,-3.23273096427709
"5161",5161,264.401969258794,-3.26826433336648
"5162",5162,264.401797196168,-3.21032712504165
"5163",5163,264.401854840029,-3.2355080924679
"5164",5164,264.401877578579,-3.24566617390631
"5165",5165,264.401906655862,-3.25818245133255
"5166",5166,264.401808964208,-3.22595000391579
"5167",5167,264.401883452229,-3.25699964931666
"5168",5168,264.401518258757,-3.11662310808136
"5169",5169,264.401859946463,-3.25136265694106
"5170",5170,264.401815764502,-3.23449169952638
"5171",5171,264.401856703021,-3.25425048718386
"5172",5172,264.401835353143,-3.24950292215166
"5173",5173,264.401812549399,-3.24129298568994
"5174",5174,264.401803401664,-3.24221230649048
"5175",5175,264.401845570501,-3.25916984690068
"5176",5176,264.401791576219,-3.24576295657312
"5177",5177,264.401827554781,-3.2600245469131
"5178",5178,264.401833473853,-3.26326928480776
"5179",5179,264.401853726906,-3.27306354718405
"5180",5180,264.40177713696,-3.2470165797774
"5181",5181,264.40187500604,-3.28830219234893
"5182",5182,264.401741463657,-3.24001590605982
"5183",5183,264.401743926372,-3.24939780888401
"5184",5184,264.401561193986,-3.17911267354663
"5185",5185,264.401434013266,-3.13002920834499
"5186",5186,264.4018184789,-3.28222744928789
"5187",5187,264.401737879318,-3.25425252010879
"5188",5188,264.40167513862,-3.23254684857373
"5189",5189,264.401677902066,-3.23713890074882
"5190",5190,264.401733038046,-3.26089679719557
