## Cluster   RGC      RSun  DELTAR  [Fe/H]     MV   E(B-V)  M_GC  Delta M  M/L  Delta M/L  Age     Mini    Error   Ltime     Error   chi^2  rlhp    rm    trh    NV  alpha_s   vesc   v0esc   sig0    rmin    rmax      l       b
##  (1)      (3)       (4)   (5)      (6)     (7)    (8)     (9)   (10)   (11)    (12)     (13)    (14)     (15)    (16)      (17)   (18)   (19)   (20)   (21)  (22)  (23)     (24)   (25)    (26)    (27)    (28)     (29)   (30)
 NGC 5946     5.22    9.64    0.51   -1.29   -7.10   0.54   5.04   4.20   1.87   0.27    12.00     6.19     5.68     2.05     0.74   0.18   1.96   2.82   8.67   167  -0.28  24.146  43.139    6.09    0.48    5.13  327.58    4.19
 NGC 5986     4.77   10.54    0.13   -1.59   -8.28   0.28   5.48   3.73   1.70   0.03    12.50     6.25     5.33     5.70     0.92   0.81   2.84   4.35   9.24   460  -0.58  30.555  42.469    8.03    0.54    5.02  337.02   13.27
 NGC 6093     3.84   10.34    0.12   -1.75   -8.20   0.18   5.50   3.98   1.94   0.06    13.00     6.13     4.81     9.47     0.77   1.48   1.93   2.82   8.90  4251  -0.49  44.258  80.894   11.03    0.87    4.07  352.67   19.46
 NGC 6101    10.30   14.45    0.19   -1.98   -7.27   0.05   5.24   4.49   2.50   0.45    12.60     5.56     2.93    81.18     1.40   0.94   9.59  13.87   9.96   113  -1.01  11.465  24.250    3.27   10.19   35.75  317.75  -15.82
 NGC 6121     6.77    1.85    0.02   -1.16   -7.02   0.43   4.96   3.05   1.64   0.02    12.00     6.01     5.00     2.30     0.29   0.70   2.50   3.95   8.94 13235  -0.49  18.800  28.450    4.73    0.62    6.52  350.97   15.97
 NGC 6139     3.40   10.04    0.45   -1.65   -8.36   0.75   5.55   4.53   1.86   0.18    12.00     6.07     4.95    14.73     2.51   1.52   1.85   2.49   8.80   300   0.10  46.382  86.358   11.74    1.32    3.58  342.37    6.94
 NGC 6144     2.57    8.15    0.13   -1.76   -6.43   0.36   4.93   3.59   2.65   0.12    13.20     5.73     4.10     5.29     0.18   0.64   3.70   4.97   9.04   106   0.04  15.038  22.574    3.95    1.89    3.11  351.93   15.70
 NGC 6171     4.00    5.63    0.08   -1.02   -6.50   0.33   4.82   3.25   1.93   0.05    13.40     5.81     4.18     3.07     0.09   1.63   2.89   4.12   8.88  1236  -0.31  15.515  29.406    4.01    1.21    3.83    3.37   23.01
 NGC 6205     8.84    7.42    0.08   -1.53   -8.60   0.02   5.68   3.81   2.05   0.03    12.60     6.11     3.38    26.45     0.15   1.42   3.47   5.21   9.47  1831  -0.79  32.423  47.189    8.89    1.51    8.73   59.01   40.91
 NGC 6218     4.84    5.11    0.05   -1.37   -7.04   0.19   5.03   3.28   1.91   0.03    13.30     5.69     3.49     8.48     0.09   1.48   2.72   4.08   8.93  4300  -0.41  17.740  27.318    4.76    2.15    4.71   15.72   26.31
 NGC 6229    29.47   30.11    0.47   -1.47   -8.09   0.01   5.39   4.91   1.67   0.55    12.60     5.91     4.72    16.18     2.48   0.00   3.12   4.80   9.27    20  -0.89  25.339  41.977    6.66    1.43   30.36   73.64   40.31
 NGC 6235     4.18   11.94    0.38   -1.28   -6.73   0.31   4.96   4.23   2.15   0.40    11.00     5.48     4.29    13.39     1.83   0.66   3.37   4.75   9.03   141 -99.00  15.296  26.714    4.06    3.50    7.49  358.92   13.52
 NGC 6254     4.63    5.07    0.06   -1.56   -7.78   0.28   5.28   3.48   1.72   0.03    12.10     5.83     3.57    13.03     0.15   0.66   2.99   4.75   9.22  1493  -0.69  24.058  34.310    6.19    1.91    4.60   15.14   23.08
